Timestamp,Open,High,Low,Close
2024-03-11,5.24,5.24,5.24,5.24,
2024-03-12,5.25,5.25,5.25,5.25,
2024-03-13,5.25,5.25,5.25,5.25,
2024-03-14,5.25,5.25,5.25,5.25,
2024-03-15,5.25,5.25,5.25,5.25,
2024-03-18,5.25,5.25,5.25,5.25,
2024-03-19,5.24,5.24,5.24,5.24,
2024-03-20,5.24,5.24,5.24,5.24,
2024-03-21,5.25,5.25,5.25,5.25,
2024-03-22,5.24,5.24,5.24,5.24,
2024-03-25,5.23,5.23,5.23,5.23,
2024-03-26,5.22,5.22,5.22,5.22,
2024-03-27,5.22,5.22,5.22,5.22,
2024-03-28,5.23,5.23,5.23,5.23,
2024-04-01,5.23,5.23,5.23,5.23,
2024-04-02,5.22,5.22,5.22,5.22,
2024-04-03,5.22,5.22,5.22,5.22,
2024-04-04,5.21,5.21,5.21,5.21,
2024-04-05,5.23,5.23,5.23,5.23,
2024-04-08,5.23,5.23,5.23,5.23,
2024-04-09,5.23,5.23,5.23,5.23,
2024-04-10,5.25,5.25,5.25,5.25,
2024-04-11,5.25,5.25,5.25,5.25,
2024-04-12,5.25,5.25,5.25,5.25,
2024-04-15,5.25,5.25,5.25,5.25,
2024-04-16,5.25,5.25,5.25,5.25,
2024-04-17,5.25,5.25,5.25,5.25,
2024-04-18,5.25,5.25,5.25,5.25,
2024-04-19,5.25,5.25,5.25,5.25,
2024-04-22,5.22,5.22,5.22,5.22,
2024-04-23,5.25,5.25,5.25,5.25,
2024-04-24,5.26,5.26,5.26,5.26,
2024-04-25,5.26,5.26,5.26,5.26,
2024-04-26,5.25,5.25,5.25,5.25,
2024-04-29,5.25,5.25,5.25,5.25,
2024-04-30,5.25,5.25,5.25,5.25,
2024-05-01,5.26,5.26,5.26,5.26,
2024-05-02,5.25,5.25,5.25,5.25,
2024-05-03,5.25,5.25,5.25,5.25,
2024-05-06,5.25,5.25,5.25,5.25,
2024-05-07,5.25,5.25,5.25,5.25,
2024-05-08,5.25,5.25,5.25,5.25,
2024-05-09,5.25,5.25,5.25,5.25,
2024-05-10,5.26,5.26,5.26,5.26,
2024-05-13,5.25,5.25,5.25,5.25,
2024-05-14,5.24,5.24,5.24,5.24,
2024-05-15,5.25,5.25,5.25,5.25,
2024-05-16,5.25,5.25,5.25,5.25,
2024-05-17,5.25,5.25,5.25,5.25,
2024-05-20,5.25,5.25,5.25,5.25,
2024-05-21,5.25,5.25,5.25,5.25,
2024-05-22,5.25,5.25,5.25,5.25,
2024-05-23,5.26,5.26,5.26,5.26,
2024-05-24,5.26,5.26,5.26,5.26,
2024-05-28,5.26,5.26,5.26,5.26,
2024-05-29,5.26,5.26,5.26,5.26,
2024-05-30,5.26,5.26,5.26,5.26,
2024-05-31,5.25,5.25,5.25,5.25,
2024-06-03,5.26,5.26,5.26,5.26,
2024-06-04,5.25,5.25,5.25,5.25,
2024-06-05,5.25,5.25,5.25,5.25,
2024-06-06,5.25,5.25,5.25,5.25,
2024-06-07,5.26,5.26,5.26,5.26,
2024-06-10,5.25,5.25,5.25,5.25,
2024-06-11,5.25,5.25,5.25,5.25,
2024-06-12,5.25,5.25,5.25,5.25,
2024-06-13,5.25,5.25,5.25,5.25,
2024-06-14,5.25,5.25,5.25,5.25,
2024-06-17,5.25,5.25,5.25,5.25,
2024-06-18,5.24,5.24,5.24,5.24,
2024-06-20,5.24,5.24,5.24,5.24,
2024-06-21,5.23,5.23,5.23,5.23,
2024-06-24,5.24,5.24,5.24,5.24,
2024-06-25,5.23,5.23,5.23,5.23,
2024-06-26,5.24,5.24,5.24,5.24,
2024-06-27,5.23,5.23,5.23,5.23,
2024-06-28,5.22,5.22,5.22,5.22,
2024-07-01,5.24,5.24,5.24,5.24,
2024-07-02,5.24,5.24,5.24,5.24,
2024-07-03,5.24,5.24,5.24,5.24,
